filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,sketch_res,sketch_time,sketch_error
/crafted/4-A-synthesis_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.588s,,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,1, 3,unknown,60m0.004s,,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,1, 3,unknown,0m1.456s,sketch not resolved error:   unsatisfiable assertion assert at array_p..izable.sk:56 (2),
/crafted/bat_bug3_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.582s,,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,1, 0,realizable,0m1.023s,,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,2, 1,unknown,0m0.233s,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:36[0m,
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.415s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:20: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.415s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.441s,sketch not resolved error:   unsatisfiable assertion bat_bug..izable.sk:24: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.228s,sketchsolverexception: break statement not yet supported bat_bug..izable.sk:40[0m,
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m1.062s,,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.465s,,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,2, 4,unknown,60m0.002s,,
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,1, 4,unknown,26m7.673s,sketch not resolved error:,
/crafted/binary_search_synthesis_v3_unrealizable.c,unrealizable,yes,yes,2, 4,unknown,0m1.444s,sketch not resolved error:   unsatisfiable assertion assert at binary_..izable.sk:21 (2),
/crafted/bubble_max_sort_v1_realizable.c,realizable,yes,yes,4, 7,unknown,0m0.289s,sketchsolverexception: break statement not yet supported bubble_..izable.sk:60[0m,
/crafted/bubble_max_sort_v2_unrealizable.c,unrealizable,yes,yes,4, 7,unknown,0m0.273s,sketchsolverexception: break statement not yet supported bubble_..izable.sk:60[0m,
/crafted/function_call_nontrivial_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.480s,,
/crafted/function_call_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.498s,,
/crafted/function_call_unrealizable.c,unrealizable,yes,yes,2, 0,realizable,0m0.628s,,
/crafted/if1_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.470s,,
/crafted/if2_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.502s,,
/crafted/loop_v1_unrealizable.c,unrealizable,yes,yes,2, 1,unknown,0m1.439s,sketch not resolved error:   unsatisfiable assertion assert at loop_v1..izable.sk:10 (2),
/crafted/loop_with_assert_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.455s,sketch not resolved error:   unsatisfiable assertion loop_wi..izable.sk:11: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/max_abs_plus_div_v1_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.406s,sketch not resolved error:   unsatisfiable assertion max_abs..izable.sk:28: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/max_abs_plus_div_v2_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.397s,sketch not resolved error:   unsatisfiable assertion max_abs..izable.sk:29: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/max_abs_plus_div_v3_unrealizable.c,unrealizable,yes,yes,1, 1,unknown,0m1.414s,sketch not resolved error:   unsatisfiable assertion assert at max_abs..izable.sk:34 (0),
/crafted/max_abs_plus_div_v4_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.412s,sketch not resolved error:   unsatisfiable assertion max_abs..izable.sk:29: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/max_abs_plus_div_v5_realizable.c,realizable,yes,yes,2, 1,unknown,0m1.443s,sketch not resolved error:   unsatisfiable assertion max_abs..izable.sk:29: this loop was unrolled 8 times but apparently that was not enough. use the --bnd-unroll-amnt flag for better results.,
/crafted/nonterminating_v1_realizable.c,realizable,yes,yes,2, 1,realizable,0m0.489s,,
/crafted/one_branch_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unknown,0m1.392s,sketch not resolved error:   unsatisfiable assertion assert at one_bra..izable.sk:15 (2),
/crafted/Qlose_findC_v1_realizable.c,realizable,yes,yes,2, 3,unknown,0m0.209s,failed with illegalargumentexception exception; message: file not found: /host/qlose_findc_v1_realizable.sk,
/crafted/Qlose_findC_v1_unrealizable.c,unrealizable,yes,yes,2, 3,unknown,0m0.180s,failed with illegalargumentexception exception; message: file not found: /host/qlose_findc_v1_unrealizable.sk,
/crafted/Qlose_largestGap3_v1_realizable.c,realizable,yes,yes,7, 3,unknown,28m14.659s,sketch not resolved error:,
/crafted/singleton_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unknown,0m1.400s,sketch not resolved error:   unsatisfiable assertion assert at singlet..izable.sk:14 (2),
/sv-comp/locks/test_locks_10.c,unknown,yes,yes,1, 1,unknown,0m0.268s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_11.c,unknown,yes,yes,1, 1,unknown,0m0.304s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_12.c,unknown,yes,yes,1, 1,unknown,0m0.297s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_13.c,unknown,yes,yes,1, 1,unknown,0m0.284s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_14-1.c,unknown,yes,yes,1, 1,unknown,0m0.271s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_14-2.c,unknown,yes,yes,2, 1,unknown,0m0.279s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_15-1.c,unknown,yes,yes,2, 1,unknown,0m0.290s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_15-2.c,unknown,yes,yes,1, 1,unknown,0m0.275s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_5.c,unknown,yes,yes,1, 1,unknown,0m0.307s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_6.c,unknown,yes,yes,1, 1,unknown,0m0.251s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_7.c,unknown,yes,yes,1, 1,unknown,0m0.253s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_8.c,unknown,yes,yes,1, 1,unknown,0m0.254s,program parse error: could not parse program[0m,
/sv-comp/locks/test_locks_9.c,unknown,yes,yes,1, 1,unknown,0m0.281s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.310s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.373s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/diskperf_simpl1_synth_cil_unknown.c,unknown,yes,yes,2, 1,unknown,0m0.279s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.269s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.273s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.283s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.314s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl1_synth_cil_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.265s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-1_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.312s,program parse error: could not parse program[0m,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-2_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.285s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.314s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_1_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.292s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_2_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.298s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_2_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.292s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_3_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.299s,program parse error: sketch failed to parse: null[0m,
/sv-comp/ssh-simplified/s3_clnt_3_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.322s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_3_cil-3.c,unknown,yes,yes,1, 1,unknown,0m0.285s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_4_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.305s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_clnt_4_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.293s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_10_cil.c,unknown,yes,yes,1, 1,unknown,0m0.388s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_11_cil.c,unknown,yes,yes,1, 1,unknown,0m0.332s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_12_cil.c,unknown,yes,yes,1, 1,unknown,0m0.327s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_13_cil.c,unknown,yes,yes,1, 1,unknown,0m0.322s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_14_cil.c,unknown,yes,yes,1, 1,unknown,0m0.321s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_1a_cil.c,unknown,yes,yes,2, 1,unknown,0m0.268s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_1b_cil.c,unknown,yes,yes,5, 1,unknown,0m0.251s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.397s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_1_cil-2.c,unknown,yes,yes,22, 1,unknown,0m0.299s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_2_cil-1.c,unknown,yes,yes,3, 1,unknown,0m0.296s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_2_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.337s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_3_cil.c,unknown,yes,yes,1, 1,unknown,0m0.335s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_4_cil.c,unknown,yes,yes,1, 1,unknown,0m0.278s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_6_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.326s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_6_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.386s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_7_cil.c,unknown,yes,yes,1, 1,unknown,0m0.381s,program parse error: could not parse program[0m,
/sv-comp/ssh-simplified/s3_srvr_8_cil.c,unknown,yes,yes,1, 1,unknown,0m0.293s,program parse error: could not parse program[0m,
/tcas/tcas_v10_realizable.c,realizable,yes,yes,8, 0,realizable,12m10.713s,,
/tcas/tcas_v11_unknown.c,unknown,yes,yes,8, 0,realizable,0m14.420s,,
/tcas/tcas_v12_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.389s,error at node: parameter sk_enabled to main_generator_for_bit_148 is used without first being initialized. (at tcas_v1..nknown.sk:268) (at tcas_v1..nknown.sk:90)[0m,
/tcas/tcas_v13_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.502s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v14_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.550s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v15_unknown.c,unknown,yes,yes,2, 0,realizable,0m18.998s,,
/tcas/tcas_v16_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.529s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v17_unknown.c,unknown,yes,yes,2, 0,unknown,0m4.484s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v18_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.504s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v19_unknown.c,unknown,yes,yes,2, 0,unknown,0m12.589s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v1..nknown.sk:246 (2),
/tcas/tcas_v1_realizable.c,realizable,yes,yes,1, 0,unknown,60m0.002s,,
/tcas/tcas_v20_realizable.c,realizable,yes,yes,1, 0,realizable,4m25.716s,,
/tcas/tcas_v21_unknown.c,unknown,yes,yes,1, 0,realizable,10m56.963s,,
/tcas/tcas_v22_unknown.c,unknown,yes,yes,1, 0,realizable,4m58.188s,,
/tcas/tcas_v23_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,,
/tcas/tcas_v24_unknown.c,unknown,yes,yes,1, 0,realizable,34m55.396s,,
/tcas/tcas_v25_realizable.c,realizable,yes,yes,1, 0,unknown,60m0.002s,,
/tcas/tcas_v26_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.464s,error at node: parameter sk_enabled to main_generator_for_bit_148 is used without first being initialized. (at tcas_v2..nknown.sk:268) (at tcas_v2..nknown.sk:90)[0m,
/tcas/tcas_v27_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.427s,error at node: parameter sk_enabled to main_generator_for_bit_148 is used without first being initialized. (at tcas_v2..nknown.sk:268) (at tcas_v2..nknown.sk:90)[0m,
/tcas/tcas_v28_realizable.c,realizable,yes,yes,2, 0,realizable,0m19.408s,,
/tcas/tcas_v29_unknown.c,unknown,yes,yes,1, 0,unknown,0m4.548s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v2..nknown.sk:246 (2),
/tcas/tcas_v2_unknown.c,unknown,yes,yes,2, 0,realizable,0m15.739s,,
/tcas/tcas_v30_unknown.c,unknown,yes,yes,1, 0,unknown,0m6.547s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v3..nknown.sk:246 (2),
/tcas/tcas_v31_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,,
/tcas/tcas_v32_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.003s,,
/tcas/tcas_v33_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.559s,sketch not resolved error: this function should never be called. will cause tcas_v3..nknown.sk:23 array out of bounds !(0<=4 < 4),
/tcas/tcas_v34_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.408s,error at node: parameter sk_need_upward_ra to main_generator_for_bit_154 is used without first being initialized. (at tcas_v3..izable.sk:259) (at tcas_v3..izable.sk:94)[0m,
/tcas/tcas_v35_unknown.c,unknown,yes,yes,2, 0,realizable,0m23.427s,,
/tcas/tcas_v36_unknown.c,unknown,yes,yes,2, 0,unknown,0m4.536s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v3..nknown.sk:246 (2),
/tcas/tcas_v37_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.522s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v3..nknown.sk:246 (2),
/tcas/tcas_v38_unknown.c,unknown,yes,yes,2, 0,unknown,0m1.505s,sketch not resolved error: this function should never be called. will cause tcas_v3..nknown.sk:23 array out of bounds !(0<=3 < 3),
/tcas/tcas_v39_unknown.c,unknown,yes,yes,1, 0,unknown,60m0.002s,,
/tcas/tcas_v3_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.386s,error at node: parameter sk_intent_not_known to main_generator_for_bit_150 is used without first being initialized. (at tcas_v3..izable.sk:268) (at tcas_v3..izable.sk:92)[0m,
/tcas/tcas_v40_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.420s,error at node: parameter sk_need_upward_ra to main_generator_for_bit_161 is used without first being initialized. (at tcas_v4..izable.sk:311) (at tcas_v4..izable.sk:105)[0m,
/tcas/tcas_v41_unknown.c,unknown,yes,yes,1, 0,realizable,0m5.869s,,
/tcas/tcas_v4_realizable.c,realizable,yes,yes,1, 0,realizable,0m5.899s,,
/tcas/tcas_v5_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.422s,error at node: parameter sk_enabled to main_generator_for_bit_148 is used without first being initialized. (at tcas_v5..izable.sk:268) (at tcas_v5..izable.sk:90)[0m,
/tcas/tcas_v6_realizable.c,realizable,yes,yes,4, 0,realizable,3m9.197s,,
/tcas/tcas_v7_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.528s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v7..nknown.sk:246 (2),
/tcas/tcas_v8_unknown.c,unknown,yes,yes,2, 0,unknown,0m2.491s,sketch not resolved error:   unsatisfiable assertion assert at tcas_v8..nknown.sk:246 (2),
/tcas/tcas_v9_realizable.c,realizable,yes,yes,1, 0,unknown,60m0.002s,,
